scientific_name,taxon_id,iconic_taxon_name,kingdom,class,order,family,genus,species,common_name,taxon_rank
Limnomedusa macroglossa,23244,Amphibia,Animalia,Amphibia,Anura,Alsodidae,Limnomedusa,Limnomedusa macroglossa,,species
Melanophryniscus atroluteus,21769,Amphibia,Animalia,Amphibia,Anura,Bufonidae,Melanophryniscus,Melanophryniscus atroluteus,,species
Melanophryniscus devincenzii,21770,Amphibia,Animalia,Amphibia,Anura,Bufonidae,Melanophryniscus,Melanophryniscus devincenzii,,species
Melanophryniscus montevidensis,21768,Amphibia,Animalia,Amphibia,Anura,Bufonidae,Melanophryniscus,Melanophryniscus montevidensis,Sapito De Darwin,species
Rhinella arenarum,67093,Amphibia,Animalia,Amphibia,Anura,Bufonidae,Rhinella,Rhinella arenarum,Sapo común,species
Rhinella diptycha,67107,Amphibia,Animalia,Amphibia,Anura,Bufonidae,Rhinella,Rhinella diptycha,Cururú,species
Rhinella dorbignyi,67108,Amphibia,Animalia,Amphibia,Anura,Bufonidae,Rhinella,Rhinella dorbignyi,Sapito Jardín,species
Boana pulchella,555143,Amphibia,Animalia,Amphibia,Anura,Hylidae,Boana,Boana pulchella,Ranita del zarzal,species
Dendropsophus minutus,65377,Amphibia,Animalia,Amphibia,Anura,Hylidae,Dendropsophus,Dendropsophus minutus,Ranita Amarilla Comun,species
Dendropsophus sanborni,65398,Amphibia,Animalia,Amphibia,Anura,Hylidae,Dendropsophus,Dendropsophus sanborni,,species
Pseudis minuta,24411,Amphibia,Animalia,Amphibia,Anura,Hylidae,Pseudis,Pseudis minuta,Rana Boyadora,species
Scinax berthae,1176860,Amphibia,Animalia,Amphibia,Anura,Hylidae,Scinax,Scinax berthae,,species
Scinax fuscovarius,24285,Amphibia,Animalia,Amphibia,Anura,Hylidae,Scinax,Scinax fuscovarius,,species
Scinax granulatus,24363,Amphibia,Animalia,Amphibia,Anura,Hylidae,Scinax,Scinax granulatus,Rana roncadora,species
Scinax nasicus,24279,Amphibia,Animalia,Amphibia,Anura,Hylidae,Scinax,Scinax nasicus,Ranita Hocicuda,species
Scinax squalirostris,24357,Amphibia,Animalia,Amphibia,Anura,Hylidae,Scinax,Scinax squalirostris,Rana hocicuda,species
Scinax uruguayus,1176849,Amphibia,Animalia,Amphibia,Anura,Hylidae,Scinax,Scinax uruguayus,,species
Leptodactylus gracilis,22981,Amphibia,Animalia,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus gracilis,,species
Leptodactylus latinasus,22974,Amphibia,Animalia,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus latinasus,Urnero,species
Leptodactylus luctator,1176823,Amphibia,Animalia,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus luctator,,species
Leptodactylus macrosternum,70711,Amphibia,Animalia,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus macrosternum,Rana Criolla,species
Leptodactylus mystacinus,22956,Amphibia,Animalia,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus mystacinus,Rana de bigotes,species
Physalaemus biligonigerus,326272,Amphibia,Animalia,Amphibia,Anura,Leptodactylidae,Physalaemus,Physalaemus biligonigerus,Rana llorona,species
Physalaemus gracilis,23124,Amphibia,Animalia,Amphibia,Anura,Leptodactylidae,Physalaemus,Physalaemus gracilis,,species
Physalaemus henselii,23137,Amphibia,Animalia,Amphibia,Anura,Leptodactylidae,Physalaemus,Physalaemus henselii,,species
Pleurodema bibroni,23211,Amphibia,Animalia,Amphibia,Anura,Leptodactylidae,Pleurodema,Pleurodema bibroni,,species
Pseudopaludicola falcipes,23174,Amphibia,Animalia,Amphibia,Anura,Leptodactylidae,Pseudopaludicola,Pseudopaludicola falcipes,Macaquito,species
Elachistocleis bicolor,25092,Amphibia,Animalia,Amphibia,Anura,Microhylidae,Elachistocleis,Elachistocleis bicolor,Sapito Panza Amarilla,species
Odontophrynus americanus,22859,Amphibia,Animalia,Amphibia,Anura,Odontophrynidae,Odontophrynus,Odontophrynus americanus,Escuercito común,species
Phyllomedusa iheringii,23736,Amphibia,Animalia,Amphibia,Anura,Phyllomedusidae,Phyllomedusa,Phyllomedusa iheringii,,species
Lithobates catesbeianus,65979,Amphibia,Animalia,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,Rana toro,species
Chthonerpeton indistinctum,28032,Amphibia,Animalia,Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,Chthonerpeton indistinctum,,species
