scientific_name,taxon_id,iconic_taxon_name,kingdom,class,order,family,genus,species,common_name,taxon_rank
Agaricus arvensis,58699,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus arvensis,Bola de nieve,species
Agaricus campestris,143563,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus campestris,champiñón de prado,species
Agaricus xanthodermus,118394,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus xanthodermus,Champiñón amarillo,species
Chlorophyllum hortense,179126,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,Chlorophyllum hortense,,species
Chlorophyllum molybdites,117308,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,Chlorophyllum molybdites,Falsa sombrilla,species
Chlorophyllum rhacodes,56535,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,Chlorophyllum rhacodes,,species
Leucoagaricus leucothites,179125,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Leucoagaricus leucothites,Enano blanco,species
Leucocoprinus fragilissimus,202380,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricaceae,Leucocoprinus,Leucocoprinus fragilissimus,Sombrilla amarilla,species
Macrolepiota bonaerensis,986074,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricaceae,Macrolepiota,Macrolepiota bonaerensis,,species
Macrolepiota kerandi,986076,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricaceae,Macrolepiota,Macrolepiota kerandi,,species
Amanita citrina,63271,Fungi,Fungi,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita citrina,,species
Amanita muscaria,48715,Fungi,Fungi,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita muscaria,hongo matamoscas,species
Amanita phalloides,52135,Fungi,Fungi,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita phalloides,,species
Amanita foetens,623315,Fungi,Fungi,Agaricomycetes,Agaricales,Amanitaceae,Saproamanita,Amanita foetens,Amanita algodonosa,species
Clitocybe brunneocephala,208113,Fungi,Fungi,Agaricomycetes,Agaricales,Clitocybaceae,Clitocybe,Clitocybe brunneocephala,,species
Clitocybe fragrans,118370,Fungi,Fungi,Agaricomycetes,Agaricales,Clitocybaceae,Clitocybe,Clitocybe fragrans,Clitocibe fragante,species
Lepista nuda,351380,Fungi,Fungi,Agaricomycetes,Agaricales,Clitocybaceae,Lepista,Lepista nuda,Pie azul,species
Lepista sordida,332507,Fungi,Fungi,Agaricomycetes,Agaricales,Clitocybaceae,Lepista,Lepista sordida,,species
Coprinus comatus,47392,Fungi,Fungi,Agaricomycetes,Agaricales,Coprinaceae,Coprinus,Coprinus comatus,Matacandil,species
Panaeolus antillarum,348989,Fungi,Fungi,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,Panaeolus antillarum,Hongo variegado norteamericano,species
Panaeolus papilionaceus,118263,Fungi,Fungi,Agaricomycetes,Agaricales,Galeropsidaceae,Panaeolus,Panaeolus papilionaceus,,species
Laccaria laccata,63236,Fungi,Fungi,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria laccata,agrito,species
Cora pavonia,1029593,Fungi,Fungi,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,Cora pavonia,,species
Agrocybe pediades,118393,Fungi,Fungi,Agaricomycetes,Agaricales,Hymenogastraceae,Agrocybe,Agrocybe pediades,Hongo gorra de campo,species
Deconica coprophila,528643,Fungi,Fungi,Agaricomycetes,Agaricales,Hymenogastraceae,Deconica,Deconica coprophila,Hongos del excremento,species
Gymnopilus fulvosquamulosus,553728,Fungi,Fungi,Agaricomycetes,Agaricales,Hymenogastraceae,Gymnopilus,Gymnopilus fulvosquamulosus,,species
Gymnopilus junonius,83196,Fungi,Fungi,Agaricomycetes,Agaricales,Hymenogastraceae,Gymnopilus,Gymnopilus junonius,Hongo de la Risa,species
Gymnopilus sapineus,118302,Fungi,Fungi,Agaricomycetes,Agaricales,Hymenogastraceae,Gymnopilus,Gymnopilus sapineus,,species
Psilocybe cubensis,328244,Fungi,Fungi,Agaricomycetes,Agaricales,Hymenogastraceae,Psilocybe,Psilocybe cubensis,San Isidro,species
Apioperdon pyriforme,972793,Fungi,Fungi,Agaricomycetes,Agaricales,Lycoperdaceae,Apioperdon,Apioperdon pyriforme,hongo pera,species
Calvatia cyathiformis,153296,Fungi,Fungi,Agaricomycetes,Agaricales,Lycoperdaceae,Calvatia,Calvatia cyathiformis,Patarata,species
Calvatia pachyderma,128579,Fungi,Fungi,Agaricomycetes,Agaricales,Lycoperdaceae,Calvatia,Calvatia pachyderma,,species
Lycoperdon curtisii,121715,Fungi,Fungi,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,Lycoperdon curtisii,,species
Lycoperdon marginatum,151795,Fungi,Fungi,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,Lycoperdon marginatum,,species
Lycoperdon perlatum,48443,Fungi,Fungi,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,Lycoperdon perlatum,Pedo de coyote,species
Lycoperdon umbrinum,118139,Fungi,Fungi,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,Lycoperdon umbrinum,,species
Mycena alcalina,179707,Fungi,Fungi,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena alcalina,,species
Cyathus stercoreus,120037,Fungi,Fungi,Agaricomycetes,Agaricales,Nidulariaceae,Cyathus,Cyathus stercoreus,Hongo nido de pájaro,species
Cyptotrama asprata,179194,Fungi,Fungi,Agaricomycetes,Agaricales,Physalacriaceae,Cyptotrama,Cyptotrama asprata,,species
Oudemansiella canarii,351659,Fungi,Fungi,Agaricomycetes,Agaricales,Physalacriaceae,Oudemansiella,Oudemansiella canarii,,species
Oudemansiella cubensis,867821,Fungi,Fungi,Agaricomycetes,Agaricales,Physalacriaceae,Oudemansiella,Oudemansiella cubensis,,species
Pleurotus djamor,328233,Fungi,Fungi,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus djamor,Seta rosa,species
Candolleomyces candolleanus,1179954,Fungi,Fungi,Agaricomycetes,Agaricales,Psathyrellaceae,Candolleomyces,Candolleomyces candolleanus,,species
Coprinellus disseminatus,56314,Fungi,Fungi,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus disseminatus,Sombrillitas,species
Coprinellus micaceus,56318,Fungi,Fungi,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus micaceus,Tapón de tinta brillante,species
Coprinopsis atramentaria,48521,Fungi,Fungi,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis atramentaria,Hongo entintado,species
Schizophyllum commune,54573,Fungi,Fungi,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,Nanacate,species
Hypholoma fasciculare,48767,Fungi,Fungi,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,Hypholoma fasciculare,Hongo azufroso,species
Hypholoma puiggarii,710425,Fungi,Fungi,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,Hypholoma puiggarii,,species
Leratiomyces ceres,121217,Fungi,Fungi,Agaricomycetes,Agaricales,Strophariaceae,Leratiomyces,Leratiomyces ceres,Hongo cabeza roja,species
Tricholoma equestre,118215,Fungi,Fungi,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma equestre,Hongo canario,species
Plicaturopsis crispa,55565,Fungi,Fungi,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Plicaturopsis,Plicaturopsis crispa,,species
Auricularia auricula-judae,50813,Fungi,Fungi,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,Auricularia auricula-judae,Oreja de Judas,species
Auricularia fuscosuccinea,328246,Fungi,Fungi,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,Auricularia fuscosuccinea,Oreja de Chancho,species
Boletus edulis,48701,Fungi,Fungi,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis,Hongo cemita rey,species
Pisolithus arhizus,179044,Fungi,Fungi,Agaricomycetes,Boletales,Pisolithaceae,Pisolithus,Pisolithus arhizus,,species
Scleroderma cepa,118147,Fungi,Fungi,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,Scleroderma cepa,Hongo bola de tierra,species
Scleroderma citrinum,55927,Fungi,Fungi,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,Scleroderma citrinum,,species
Suillus granulatus,179065,Fungi,Fungi,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus granulatus,Panza babosa,species
Suillus luteus,53488,Fungi,Fungi,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus luteus,,species
Clavulina coralloides,63260,Fungi,Fungi,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,Clavulina coralloides,,species
Geastrum saccatum,63557,Fungi,Fungi,Agaricomycetes,Geastrales,Geastraceae,Geastrum,Geastrum saccatum,Estrella de la Tierra,species
Geastrum triplex,63076,Fungi,Fungi,Agaricomycetes,Geastrales,Geastraceae,Geastrum,Geastrum triplex,estrella de tierra,species
Myriostoma calongei,881059,Fungi,Fungi,Agaricomycetes,Geastrales,Geastraceae,Myriostoma,Myriostoma calongei,,species
Ramaria toxica,714349,Fungi,Fungi,Agaricomycetes,Gomphales,Gomphaceae,Ramaria,Ramaria toxica,,species
Inonotus hispidus,194483,Fungi,Fungi,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Inonotus,Inonotus hispidus,,species
Aseroe rubra,381310,Fungi,Fungi,Agaricomycetes,Phallales,Phallaceae,Aseroe,Aseroe rubra,,species
Clathrus transvaalensis,700613,Fungi,Fungi,Agaricomycetes,Phallales,Phallaceae,Clathrus,Clathrus transvaalensis,,species
Lysurus cruciatus,351442,Fungi,Fungi,Agaricomycetes,Phallales,Phallaceae,Lysurus,Lysurus cruciatus,,species
Lysurus periphragmoides,338070,Fungi,Fungi,Agaricomycetes,Phallales,Phallaceae,Lysurus,Lysurus periphragmoides,,species
Phallus campanulatus,1061550,Fungi,Fungi,Agaricomycetes,Phallales,Phallaceae,Phallus,Phallus campanulatus,,species
Phallus granulosodenticulatus,1043539,Fungi,Fungi,Agaricomycetes,Phallales,Phallaceae,Phallus,Phallus granulosodenticulatus,,species
Tyromyces chioneus,130946,Fungi,Fungi,Agaricomycetes,Polyporales,Incrustoporiaceae,Tyromyces,Tyromyces chioneus,,species
