scientific_name,taxon_id,iconic_taxon_name,kingdom,class,order,family,genus,species,common_name,taxon_rank
Eubalaena australis,41571,Mammalia,Animalia,Mammalia,Artiodactyla,Balaenidae,Eubalaena,Eubalaena australis,Ballena Franca Austral,species
Megaptera novaeangliae,41566,Mammalia,Animalia,Mammalia,Artiodactyla,Balaenopteridae,Megaptera,Megaptera novaeangliae,Ballena jorobada,species
Capra hircus,123070,Mammalia,Animalia,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Cabra doméstica,species
Axis axis,42166,Mammalia,Animalia,Mammalia,Artiodactyla,Cervidae,Axis,Axis axis,Axis,species
Dama dama,42161,Mammalia,Animalia,Mammalia,Artiodactyla,Cervidae,Dama,Dama dama,Gamo europeo,species
Mazama gouazoubira,74552,Mammalia,Animalia,Mammalia,Artiodactyla,Cervidae,Mazama,Mazama gouazoubira,Guazubirá,species
Ozotoceros bezoarticus,42171,Mammalia,Animalia,Mammalia,Artiodactyla,Cervidae,Ozotoceros,Ozotoceros bezoarticus,Venado de Campo,species
Ozotoceros bezoarticus arerunguaensis,1024478,Mammalia,Animalia,Mammalia,Artiodactyla,Cervidae,Ozotoceros,Ozotoceros bezoarticus,Venado de Campo,subspecies
Delphinus delphis,41526,Mammalia,Animalia,Mammalia,Artiodactyla,Delphinidae,Delphinus,Delphinus delphis,Delfín común,species
Pseudorca crassidens,41539,Mammalia,Animalia,Mammalia,Artiodactyla,Delphinidae,Pseudorca,Pseudorca crassidens,Falsa orca,species
Tursiops truncatus,41482,Mammalia,Animalia,Mammalia,Artiodactyla,Delphinidae,Tursiops,Tursiops truncatus,Tonina,species
Phocoena spinipinnis,41439,Mammalia,Animalia,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena spinipinnis,Marsopa espinosa,species
Physeter macrocephalus,74890,Mammalia,Animalia,Mammalia,Artiodactyla,Physeteridae,Physeter,Physeter macrocephalus,Ballena de esperma,species
Pontoporia blainvillei,41470,Mammalia,Animalia,Mammalia,Artiodactyla,Pontoporiidae,Pontoporia,Pontoporia blainvillei,Tonina,species
Sus scrofa,42134,Mammalia,Animalia,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Jabalí europeo,species
Pecari tajacu,42113,Mammalia,Animalia,Mammalia,Artiodactyla,Tayassuidae,Pecari,Pecari tajacu,Pecarí de collar,species
Canis familiaris,47144,Mammalia,Animalia,Mammalia,Carnivora,Canidae,Canis,Canis familiaris,Perro Doméstico,species
Cerdocyon thous,42087,Mammalia,Animalia,Mammalia,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,Zorro De Monte,species
Lycalopex gymnocercus,423656,Mammalia,Animalia,Mammalia,Carnivora,Canidae,Lycalopex,Lycalopex gymnocercus,Zorro Gris,species
Felis catus,118552,Mammalia,Animalia,Mammalia,Carnivora,Felidae,Felis,Felis catus,Gato Doméstico,species
Leopardus geoffroyi,74481,Mammalia,Animalia,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,Gato Montés,species
Leopardus munoai,1240546,Mammalia,Animalia,Mammalia,Carnivora,Felidae,Leopardus,Leopardus munoai,Gato de pajonal de Muñoa,species
Leopardus wiedii,41988,Mammalia,Animalia,Mammalia,Carnivora,Felidae,Leopardus,Leopardus wiedii,Margay,species
Conepatus chinga,925950,Mammalia,Animalia,Mammalia,Carnivora,Mephitidae,Conepatus,Conepatus chinga,Zorrino,species
Galictis cuja,41824,Mammalia,Animalia,Mammalia,Carnivora,Mustelidae,Galictis,Galictis cuja,Hurón,species
Lontra longicaudis,41778,Mammalia,Animalia,Mammalia,Carnivora,Mustelidae,Lontra,Lontra longicaudis,Lobito de Río,species
Arctocephalus australis,41748,Mammalia,Animalia,Mammalia,Carnivora,Otariidae,Arctocephalus,Arctocephalus australis,Lobo marino fino,species
Arctocephalus gazella,41751,Mammalia,Animalia,Mammalia,Carnivora,Otariidae,Arctocephalus,Arctocephalus gazella,Lobo marino antártico,species
Otaria byronia,569313,Mammalia,Animalia,Mammalia,Carnivora,Otariidae,Otaria,Otaria byronia,Lobo marino de un pelo,species
Mirounga leonina,41729,Mammalia,Animalia,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga leonina,Elefante Marino Del Sur,species
Nasua nasua,41670,Mammalia,Animalia,Mammalia,Carnivora,Procyonidae,Nasua,Nasua nasua,Coatí,species
Procyon cancrivorus,41667,Mammalia,Animalia,Mammalia,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,Mano pelada,species
Molossus molossus,41254,Mammalia,Animalia,Mammalia,Chiroptera,Molossidae,Molossus,Molossus molossus,Murciélago mastín común,species
Tadarida brasiliensis,41301,Mammalia,Animalia,Mammalia,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,Murciélago cola suelta,species
Desmodus rotundus,41168,Mammalia,Animalia,Mammalia,Chiroptera,Phyllostomidae,Desmodus,Desmodus rotundus,Murciélago vampiro,species
Sturnira lilium,1067749,Mammalia,Animalia,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Frutero común,species
Eptesicus diminutus,40480,Mammalia,Animalia,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus diminutus,Murciélago pardo chico,species
Eptesicus furinalis,40485,Mammalia,Animalia,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus furinalis,Murciélago pardo común,species
Histiotus montanus,40534,Mammalia,Animalia,Mammalia,Chiroptera,Vespertilionidae,Histiotus,Histiotus montanus,murciélago orejudo menor,species
Lasiurus blossevillii,40520,Mammalia,Animalia,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus blossevillii,Murciélago cola peluda de Blossevil,species
Lasiurus ega,40526,Mammalia,Animalia,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus ega,Murciélago cola peluda amarillo,species
Myotis levis,40274,Mammalia,Animalia,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis levis,Murcielaguito pardo,species
Euphractus sexcinctus,47083,Mammalia,Animalia,Mammalia,Cingulata,Chlamyphoridae,Euphractus,Euphractus sexcinctus,Tatú peludo,species
Dasypus novemcinctus,47075,Mammalia,Animalia,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,Tatú,species
Dasypus septemcinctus,1275370,Mammalia,Animalia,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus septemcinctus,Armadillo de siete bandas,species
Dasypus septemcinctus hybridus,1275371,Mammalia,Animalia,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus septemcinctus,Armadillo narizón sureño,subspecies
Didelphis albiventris,42658,Mammalia,Animalia,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis albiventris,Comadreja overa,species
Lutreolina crassicaudata,852377,Mammalia,Animalia,Mammalia,Didelphimorphia,Didelphidae,Lutreolina,Lutreolina crassicaudata,Comadreja colorada,species
Monodelphis dimidiata,42569,Mammalia,Animalia,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis dimidiata,Colicorto Pampeano,species
Lepus europaeus,43128,Mammalia,Animalia,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus europaeus,Liebre europea,species
Equus asinus,148030,Mammalia,Animalia,Mammalia,Perissodactyla,Equidae,Equus,Equus asinus,asno,species
Equus caballus,209233,Mammalia,Animalia,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,Caballo,species
Tamandua tetradactyla,47104,Mammalia,Animalia,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,Tamanduá,species
Alouatta caraya,43435,Mammalia,Animalia,Mammalia,Primates,Atelidae,Alouatta,Alouatta caraya,Aullador Negro,species
Cavia aperea,43813,Mammalia,Animalia,Mammalia,Rodentia,Caviidae,Cavia,Cavia aperea,Apereá,species
Hydrochoerus hydrochaeris,74442,Mammalia,Animalia,Mammalia,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,Carpincho,species
Akodon azarae,44623,Mammalia,Animalia,Mammalia,Rodentia,Cricetidae,Akodon,Akodon azarae,Ratón de Azara,species
Calomys laucha,45060,Mammalia,Animalia,Mammalia,Rodentia,Cricetidae,Calomys,Calomys laucha,Laucha de campo,species
Holochilus brasiliensis,45009,Mammalia,Animalia,Mammalia,Rodentia,Cricetidae,Holochilus,Holochilus brasiliensis,Rata Colorada,species
Lundomys molitor,74529,Mammalia,Animalia,Mammalia,Rodentia,Cricetidae,Lundomys,Lundomys molitor,,species
Oligoryzomys delticola,44830,Mammalia,Animalia,Mammalia,Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys delticola,,species
Oligoryzomys nigripes,44822,Mammalia,Animalia,Mammalia,Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys nigripes,Colilargo isleño,species
Oxymycterus josei,74828,Mammalia,Animalia,Mammalia,Rodentia,Cricetidae,Oxymycterus,Oxymycterus josei,,species
Oxymycterus nasutus,44496,Mammalia,Animalia,Mammalia,Rodentia,Cricetidae,Oxymycterus,Oxymycterus nasutus,,species
Reithrodon typicus,75007,Mammalia,Animalia,Mammalia,Rodentia,Cricetidae,Reithrodon,Reithrodon typicus,Rata conejo,species
Scapteromys tumidus,45768,Mammalia,Animalia,Mammalia,Rodentia,Cricetidae,Scapteromys,Scapteromys tumidus,,species
