scientific_name,taxon_id,iconic_taxon_name,kingdom,class,order,family,genus,species,common_name,taxon_rank
Glycymeris longior,424965,Mollusca,Animalia,Bivalvia,Arcida,Glycymerididae,Glycymeris,Glycymeris longior,Almeja dulce,species
Dallocardia delicatula,1040310,Mollusca,Animalia,Bivalvia,Cardiida,Cardiidae,Dallocardia,Dallocardia delicatula,,species
Donax hanleyanus,371229,Mollusca,Animalia,Bivalvia,Cardiida,Donacidae,Donax,Donax hanleyanus,Berberecho,species
Tagelus plebeius,71254,Mollusca,Animalia,Bivalvia,Cardiida,Solecurtidae,Tagelus,Tagelus plebeius,Uña de vieja,species
Corbula patagonica,966097,Mollusca,Animalia,Bivalvia,Myida,Corbulidae,Corbula,Corbula patagonica,,species
Brachidontes rodriguezii,472394,Mollusca,Animalia,Bivalvia,Mytilida,Mytilidae,Brachidontes,Brachidontes rodriguezii,Mejillín,species
Limnoperna fortunei,151630,Mollusca,Animalia,Bivalvia,Mytilida,Mytilidae,Limnoperna,Limnoperna fortunei,Mejillón dorado,species
Mytella strigata,196221,Mollusca,Animalia,Bivalvia,Mytilida,Mytilidae,Mytella,Mytella strigata,Mejillón tichinda,species
Mytilus edulis,117650,Mollusca,Animalia,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus edulis,Mejillón azul del Atlántico Norte,species
Mytilus platensis,371175,Mollusca,Animalia,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus platensis,,species
Perna perna,199357,Mollusca,Animalia,Bivalvia,Mytilida,Mytilidae,Perna,Perna perna,,species
Pododesmus rudis,253388,Mollusca,Animalia,Bivalvia,Pectinida,Anomiidae,Pododesmus,Pododesmus rudis,Ostra de silla de montar,species
Aequipecten tehuelchus,371174,Mollusca,Animalia,Bivalvia,Pectinida,Pectinidae,Aequipecten,Aequipecten tehuelchus,Vieira,species
Plicatula gibbosa,317620,Mollusca,Animalia,Bivalvia,Pectinida,Plicatulidae,Plicatula,Plicatula gibbosa,Almeja pata de gato del Atlántico,species
Diplodon parallelopipedon,151568,Mollusca,Animalia,Bivalvia,Unionida,Hyriidae,Diplodon,Diplodon parallelopipedon,,species
Anodontites trapesialis,542676,Mollusca,Animalia,Bivalvia,Unionida,Mycetopodidae,Anodontites,Anodontites trapesialis,,species
Monocondylaea paraguayana,1114285,Mollusca,Animalia,Bivalvia,Unionida,Mycetopodidae,Monocondylaea,Monocondylaea paraguayana,,species
Corbicula fluminea,64006,Mollusca,Animalia,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula fluminea,Almeja canasta asiática,species
Mactra isabelleana,502197,Mollusca,Animalia,Bivalvia,Venerida,Mactridae,Mactra,Mactra isabelleana,,species
Amarilladesma mactroides,953170,Mollusca,Animalia,Bivalvia,Venerida,Mesodesmatidae,Amarilladesma,Amarilladesma mactroides,Almeja amarilla,species
Eucallista purpurata,1031924,Mollusca,Animalia,Bivalvia,Venerida,Veneridae,Eucallista,Eucallista purpurata,Almeja rosada,species
Petricolaria stellae,1252451,Mollusca,Animalia,Bivalvia,Venerida,Veneridae,Petricolaria,Petricolaria stellae,,species
Pitar rostratus,1030935,Mollusca,Animalia,Bivalvia,Venerida,Veneridae,Pitar,Pitar rostratus,,species
Argonauta nodosus,798081,Mollusca,Animalia,Cephalopoda,Octopoda,Argonautidae,Argonauta,Argonauta nodosus,,species
Pomacea canaliculata,122278,Mollusca,Animalia,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea canaliculata,,species
Pomacea maculata,461265,Mollusca,Animalia,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea maculata,,species
Pomacea megastoma,1150699,Mollusca,Animalia,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea megastoma,,species
Diodora patagonica,424967,Mollusca,Animalia,Gastropoda,Lepetellida,Fissurellidae,Diodora,Diodora patagonica,,species
Echinolittorina lineolata,472066,Mollusca,Animalia,Gastropoda,Littorinimorpha,Littorinidae,Echinolittorina,Echinolittorina lineolata,,species
Tonna galea,254661,Mollusca,Animalia,Gastropoda,Littorinimorpha,Tonnidae,Tonna,Tonna galea,,species
Buccinanops cochlidium,254952,Mollusca,Animalia,Gastropoda,Neogastropoda,Buccinanopsidae,Buccinanops,Buccinanops cochlidium,Nasa escalonada,species
Buccinanops monilifer,1262617,Mollusca,Animalia,Gastropoda,Neogastropoda,Buccinanopsidae,Buccinanops,Buccinanops monilifer,Nasa de Collar,species
Rapana venosa,370913,Mollusca,Animalia,Gastropoda,Neogastropoda,Muricidae,Rapana,Rapana venosa,,species
Stramonita brasiliensis,875627,Mollusca,Animalia,Gastropoda,Neogastropoda,Muricidae,Stramonita,Stramonita brasiliensis,,species
Olivancillaria auricularia,415087,Mollusca,Animalia,Gastropoda,Neogastropoda,Olividae,Olivancillaria,Olivancillaria auricularia,Oliva de playa,species
Olivancillaria carcellesi,415088,Mollusca,Animalia,Gastropoda,Neogastropoda,Olividae,Olivancillaria,Olivancillaria carcellesi,,species
Olivancillaria deshayesiana,415075,Mollusca,Animalia,Gastropoda,Neogastropoda,Olividae,Olivancillaria,Olivancillaria deshayesiana,,species
Duplicaria gemmulata,1044653,Mollusca,Animalia,Gastropoda,Neogastropoda,Terebridae,Duplicaria,Duplicaria gemmulata,,species
Pachycymbiola brasiliana,787673,Mollusca,Animalia,Gastropoda,Neogastropoda,Volutidae,Pachycymbiola,Pachycymbiola brasiliana,Caracol Negro,species
Zidona dufresnei,255080,Mollusca,Animalia,Gastropoda,Neogastropoda,Volutidae,Zidona,Zidona dufresnei,Voluta fina,species
Glaucus atlanticus,50498,Mollusca,Animalia,Gastropoda,Nudibranchia,Glaucidae,Glaucus,Glaucus atlanticus,Dragón marino azul,species
Siphonaria lessonii,424001,Mollusca,Animalia,Gastropoda,Siphonariida,Siphonariidae,Siphonaria,Siphonaria lessonii,Lapa pulmonada,species
Allopeas gracile,122396,Mollusca,Animalia,Gastropoda,Stylommatophora,Achatinidae,Allopeas,Allopeas gracile,,species
Rumina decollata,125669,Mollusca,Animalia,Gastropoda,Stylommatophora,Achatinidae,Rumina,Rumina decollata,Caracol Degollado Europeo,species
Subulina octona,209069,Mollusca,Animalia,Gastropoda,Stylommatophora,Achatinidae,Subulina,Subulina octona,,species
Drymaeus papyraceus,84541,Mollusca,Animalia,Gastropoda,Stylommatophora,Bulimulidae,Drymaeus,Drymaeus papyraceus,,species
Bradybaena similaris,215409,Mollusca,Animalia,Gastropoda,Stylommatophora,Camaenidae,Bradybaena,Bradybaena similaris,,species
Zonitoides arboreus,234004,Mollusca,Animalia,Gastropoda,Stylommatophora,Gastrodontidae,Zonitoides,Zonitoides arboreus,,species
Cornu aspersum,480298,Mollusca,Animalia,Gastropoda,Stylommatophora,Helicidae,Cornu,Cornu aspersum,Caracol europeo de jardín,species
Otala punctata,131833,Mollusca,Animalia,Gastropoda,Stylommatophora,Helicidae,Otala,Otala punctata,Cabrilla,species
Ambigolimax valentianus,448331,Mollusca,Animalia,Gastropoda,Stylommatophora,Limacidae,Ambigolimax,Ambigolimax valentianus,Babosa de hibernadero,species
Limacus flavus,322417,Mollusca,Animalia,Gastropoda,Stylommatophora,Limacidae,Limacus,Limacus flavus,,species
Plagiodontes dentatus,1079723,Mollusca,Animalia,Gastropoda,Stylommatophora,Odontostomidae,Plagiodontes,Plagiodontes dentatus,,species
Austroborus lutescens,1032569,Mollusca,Animalia,Gastropoda,Stylommatophora,Strophocheilidae,Austroborus,Austroborus lutescens,,species
Megalobulimus oblongus,209072,Mollusca,Animalia,Gastropoda,Stylommatophora,Strophocheilidae,Megalobulimus,Megalobulimus oblongus,Caracol de Boca Rosada,species
Phyllocaulis soleiformis,85133,Mollusca,Animalia,Gastropoda,Systellommatophora,Veronicellidae,Phyllocaulis,Phyllocaulis soleiformis,,species
