scientific_name,taxon_id,iconic_taxon_name,kingdom,class,order,family,genus,species,common_name,taxon_rank
Brachythecium rutabulum,159407,Plantae,Plantae,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,Brachythecium rutabulum,,species
Nitella clavata,840851,Plantae,Plantae,Charophyceae,Charales,Characeae,Nitella,Nitella clavata,,species
Cryptopleura ramosa,706353,Plantae,Plantae,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,Cryptopleura ramosa,,species
Corallina officinalis,123632,Plantae,Plantae,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina officinalis,,species
Chondracanthus teedei,911602,Plantae,Plantae,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Chondracanthus teedei,,species
Grateloupia turuturu,447071,Plantae,Plantae,Florideophyceae,Halymeniales,Halymeniaceae,Grateloupia,Grateloupia turuturu,,species
Nemalion elminthoides,973569,Plantae,Plantae,Florideophyceae,Nemaliales,Liagoraceae,Nemalion,Nemalion elminthoides,,species
Ephedra tweedieana,564674,Plantae,Plantae,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,Ephedra tweedieana,,species
Echinodorus grandiflorus,206261,Plantae,Plantae,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus grandiflorus,Cucharero,species
Echinodorus longiscapus,356227,Plantae,Plantae,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus longiscapus,,species
Echinodorus uruguayensis,356220,Plantae,Plantae,Liliopsida,Alismatales,Alismataceae,Echinodorus,Echinodorus uruguayensis,,species
Hydrocleys nymphoides,163869,Plantae,Plantae,Liliopsida,Alismatales,Alismataceae,Hydrocleys,Hydrocleys nymphoides,Amapolita de río,species
Sagittaria montevidensis,69815,Plantae,Plantae,Liliopsida,Alismatales,Alismataceae,Sagittaria,Sagittaria montevidensis,Saeta,species
Arum italicum,61168,Plantae,Plantae,Liliopsida,Alismatales,Araceae,Arum,Arum italicum,Aro,species
Colocasia esculenta,122835,Plantae,Plantae,Liliopsida,Alismatales,Araceae,Colocasia,Colocasia esculenta,Malanga,species
Monstera deliciosa,122521,Plantae,Plantae,Liliopsida,Alismatales,Araceae,Monstera,Monstera deliciosa,Mano de léon,species
Philodendron giganteum,133661,Plantae,Plantae,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron giganteum,Oreja gigante de elefante,species
Pistia stratiotes,78589,Plantae,Plantae,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes,Lechuguilla africana de agua,species
Syngonium podophyllum,143208,Plantae,Plantae,Liliopsida,Alismatales,Araceae,Syngonium,Syngonium podophyllum,Chapiso,species
Thaumatophyllum undulatum,985723,Plantae,Plantae,Liliopsida,Alismatales,Araceae,Thaumatophyllum,Thaumatophyllum undulatum,Güembé,species
Zantedeschia aethiopica,56006,Plantae,Plantae,Liliopsida,Alismatales,Araceae,Zantedeschia,Zantedeschia aethiopica,Alcatraz sudafricano,species
Limnobium laevigatum,850573,Plantae,Plantae,Liliopsida,Alismatales,Hydrocharitaceae,Limnobium,Limnobium laevigatum,Tepapalacate,species
Triglochin scilloides,79437,Plantae,Plantae,Liliopsida,Alismatales,Juncaginaceae,Triglochin,Triglochin scilloides,,species
Potamogeton ferrugineus,1061857,Plantae,Plantae,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton ferrugineus,,species
Potamogeton pusillus,78714,Plantae,Plantae,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton pusillus,,species
Archontophoenix cunninghamiana,83634,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Archontophoenix,Archontophoenix cunninghamiana,Palma rey,species
Butia odorata,364998,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Butia,Butia odorata,Palmera butiá,species
Butia paraguayensis,364997,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Butia,Butia paraguayensis,,species
Butia yatay,364987,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Butia,Butia yatay,Palmera yatay,species
Livistona australis,135374,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Livistona,Livistona australis,,species
Livistona chinensis,199373,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Livistona,Livistona chinensis,Palmera de abanico china,species
Phoenix canariensis,78554,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Phoenix,Phoenix canariensis,Palma canaria,species
Sabal mexicana,168257,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Sabal,Sabal mexicana,Apachite,species
Syagrus romanzoffiana,79291,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Syagrus,Syagrus romanzoffiana,Palmera pindó,species
Trachycarpus fortunei,64323,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Trachycarpus,Trachycarpus fortunei,Palmera excelsa,species
Trithrinax campestris,366111,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Trithrinax,Trithrinax campestris,Carandilla,species
Washingtonia robusta,79521,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,Washingtonia,Washingtonia robusta,Palma blanca,species
× butyagrus nabonnandii,371143,Plantae,Plantae,Liliopsida,Arecales,Arecaceae,,× butyagrus nabonnandii,,species
Allium triquetrum,55505,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium triquetrum,Lágrimas de la virgen,species
Amaryllis belladonna,61827,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Amaryllis,Amaryllis belladonna,Lirio belladona,species
Clivia miniata,210194,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Clivia,Clivia miniata,Lirio sudafricano de monte,species
Hippeastrum hybridum,873861,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Hippeastrum,Hippeastrum hybridum,Lirio estrella,species
Hippeastrum petiolatum,841720,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Hippeastrum,Hippeastrum petiolatum,,species
Hippeastrum vittatum,472232,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Hippeastrum,Hippeastrum vittatum,Lirio amarilis,species
Ipheion sessile,924672,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Ipheion,Ipheion sessile,,species
Ipheion tweedieanum,924673,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Ipheion,Ipheion tweedieanum,,species
Ipheion uniflorum,77493,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Ipheion,Ipheion uniflorum,,species
Narcissus tazetta,56027,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,Narcissus tazetta,,species
Nothoscordum bivalve,125462,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Nothoscordum,Nothoscordum bivalve,Cebolleta,species
Nothoscordum gracile,78233,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Nothoscordum,Nothoscordum gracile,cebolla de monte,species
Nothoscordum montevidense,1131747,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Nothoscordum,Nothoscordum montevidense,,species
Nothoscordum montevidense latitepalum,1131749,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Nothoscordum,Nothoscordum montevidense,,subspecies
Nothoscordum nudicaule,1077169,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Nothoscordum,Nothoscordum nudicaule,,species
Tristagma hirtellum,1122048,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Tristagma,Tristagma hirtellum,,species
Tristagma sellowianum,1122047,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Tristagma,Tristagma sellowianum,,species
Zephyranthes americana,980379,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes americana,,species
Zephyranthes bifida,1264600,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes bifida,Azucenita Colorada,species
Zephyranthes candida,170415,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes candida,Azucena del río,species
Zephyranthes estensis,1264655,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes estensis,,species
Zephyranthes gracilifolia,1264656,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes gracilifolia,,species
Zephyranthes martinezii,1264661,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes martinezii,,species
Zephyranthes mesochloa,563407,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes mesochloa,,species
Zephyranthes minima,563409,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes minima,,species
Zephyranthes stellaris,563410,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes stellaris,,species
Zephyranthes tubispatha,1264667,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes tubispatha,Azucenita amarilla,species
Zephyranthes versicolor,1050577,Plantae,Plantae,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes versicolor,,species
Agave americana,64103,Plantae,Plantae,Liliopsida,Asparagales,Asparagaceae,Agave,Agave americana,Maguey Blanco,species
Agave angustifolia,50821,Plantae,Plantae,Liliopsida,Asparagales,Asparagaceae,Agave,Agave angustifolia,Bacanora,species
Asparagus aethiopicus,75603,Plantae,Plantae,Liliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus aethiopicus,,species
Asparagus asparagoides,64107,Plantae,Plantae,Liliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus asparagoides,,species
Asparagus setaceus,75604,Plantae,Plantae,Liliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus setaceus,Espárrago,species
Chlorophytum comosum,322492,Plantae,Plantae,Liliopsida,Asparagales,Asparagaceae,Chlorophytum,Chlorophytum comosum,Mala madre,species
Clara ophiopogonoides,862310,Plantae,Plantae,Liliopsida,Asparagales,Asparagaceae,Clara,Clara ophiopogonoides,,species
Cordyline australis,50191,Plantae,Plantae,Liliopsida,Asparagales,Asparagaceae,Cordyline,Cordyline australis,,species
Drimiopsis maculata,343937,Plantae,Plantae,Liliopsida,Asparagales,Asparagaceae,Drimiopsis,Drimiopsis maculata,Piel de Leopardo,species
Herreria montevidensis,862318,Plantae,Plantae,Liliopsida,Asparagales,Asparagaceae,Herreria,Herreria montevidensis,,species
