scientific_name,taxon_id,iconic_taxon_name,kingdom,class,order,family,genus,species,common_name,taxon_rank
Caiman latirostris,116518,Reptilia,Animalia,Reptilia,Crocodylia,Alligatoridae,Caiman,Caiman latirostris,Yacaré overo,species
Amphisbaena darwinii,539252,Reptilia,Animalia,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,Amphisbaena darwinii,Vibora Ciega,species
Amphisbaena kingii,31747,Reptilia,Animalia,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,Amphisbaena kingii,Anfisbena de quilla,species
Amphisbaena munoai,31823,Reptilia,Animalia,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,Amphisbaena munoai,,species
Boiruna maculata,95866,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Boiruna,Boiruna maculata,Musurana negra,species
Calamodontophis paucidens,27425,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Calamodontophis,Calamodontophis paucidens,,species
Chironius gouveai,1129172,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Chironius,Chironius gouveai,,species
Dipsas turgida,797653,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Dipsas,Dipsas turgida,,species
Erythrolamprus almadensis,539035,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Erythrolamprus,Erythrolamprus almadensis,,species
Erythrolamprus jaegeri,539033,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Erythrolamprus,Erythrolamprus jaegeri,Culebra verde de vientre rojo,species
Erythrolamprus jaegeri coralliventris,539042,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Erythrolamprus,Erythrolamprus jaegeri,,subspecies
Erythrolamprus miliaris,539689,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Erythrolamprus,Erythrolamprus miliaris,,species
Erythrolamprus poecilogyrus,539693,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Erythrolamprus,Erythrolamprus poecilogyrus,Culebra verde y amarilla,species
Erythrolamprus poecilogyrus sublineatus,540416,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Erythrolamprus,Erythrolamprus poecilogyrus,,subspecies
Erythrolamprus semiaureus,539697,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Erythrolamprus,Erythrolamprus semiaureus,Culebra parda,species
Helicops infrataeniatus,102402,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Helicops,Helicops infrataeniatus,Culebra de los esteros,species
Lygophis anomalus,104905,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Lygophis,Lygophis anomalus,Culebra de líneas amarillas,species
Oxyrhopus rhombifer,29153,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Oxyrhopus,Oxyrhopus rhombifer,Falsa coral,species
Oxyrhopus rhombifer rhombifer,115898,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Oxyrhopus,Oxyrhopus rhombifer,,subspecies
Paraphimophis rusticus,539045,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Paraphimophis,Paraphimophis rusticus,Musurana marrón,species
Phalotris lemniscatus,109233,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Phalotris,Phalotris lemniscatus,,species
Philodryas aestiva,146349,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Philodryas,Philodryas aestiva,Culebra esmeralda,species
Philodryas aestiva subcarinata,540481,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Philodryas,Philodryas aestiva,,subspecies
Philodryas agassizii,1250059,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Philodryas,Philodryas agassizii,,species
Philodryas olfersii,29105,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Philodryas,Philodryas olfersii,,species
Philodryas olfersii olfersii,29106,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Philodryas,Philodryas olfersii,,subspecies
Philodryas patagoniensis,1250061,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Philodryas,Philodryas patagoniensis,Culebra del Pastizal,species
Psomophis obtusus,28875,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Psomophis,Psomophis obtusus,Culebra Castaña de Vientre Rojo,species
Taeniophallus occipitalis,28530,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Taeniophallus,Taeniophallus occipitalis,,species
Taeniophallus poecilopogon,28529,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Taeniophallus,Taeniophallus poecilopogon,,species
Tantilla melanocephala,28498,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Tantilla,Tantilla melanocephala,Culebra de cabeza negra,species
Thamnodynastes hypoconia,114000,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Thamnodynastes,Thamnodynastes hypoconia,,species
Thamnodynastes strigatus,28428,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Thamnodynastes,Thamnodynastes strigatus,,species
Tomodon ocellatus,28302,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Tomodon,Tomodon ocellatus,Falsa Crucera,species
Xenodon dorbignyi,146537,Reptilia,Animalia,Reptilia,Squamata,Colubridae,Xenodon,Xenodon dorbignyi,falsa yarará de hocico ñato,species
Ophiodes intermedius,107646,Reptilia,Animalia,Reptilia,Squamata,Diploglossidae,Ophiodes,Ophiodes intermedius,Viborita de bigotes,species
Ophiodes striatus,107647,Reptilia,Animalia,Reptilia,Squamata,Diploglossidae,Ophiodes,Ophiodes striatus,Víbora de cristal,species
Ophiodes vertebralis,31996,Reptilia,Animalia,Reptilia,Squamata,Diploglossidae,Ophiodes,Ophiodes vertebralis,Viborita de cristal,species
Micrurus altirostris,105866,Reptilia,Animalia,Reptilia,Squamata,Elapidae,Micrurus,Micrurus altirostris,Coralillo uruguaya,species
Hemidactylus mabouia,68492,Reptilia,Animalia,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus mabouia,Geco casero tropical,species
Cercosaura schreibersii,34763,Reptilia,Animalia,Reptilia,Squamata,Gymnophthalmidae,Cercosaura,Cercosaura schreibersii,Lagartija negra,species
Anisolepis undulatus,73605,Reptilia,Animalia,Reptilia,Squamata,Leiosauridae,Anisolepis,Anisolepis undulatus,Camaleoncito estriado,species
Epictia munoai,32480,Reptilia,Animalia,Reptilia,Squamata,Leptotyphlopidae,Epictia,Epictia munoai,culebra ciega oriental,species
Liolaemus occipitalis,39160,Reptilia,Animalia,Reptilia,Squamata,Liolaemidae,Liolaemus,Liolaemus occipitalis,,species
Liolaemus wiegmannii,39101,Reptilia,Animalia,Reptilia,Squamata,Liolaemidae,Liolaemus,Liolaemus wiegmannii,Lagartija de Wiegmann,species
Homonota uruguayensis,34406,Reptilia,Animalia,Reptilia,Squamata,Phyllodactylidae,Homonota,Homonota uruguayensis,,species
Tarentola mauritanica,33602,Reptilia,Animalia,Reptilia,Squamata,Phyllodactylidae,Tarentola,Tarentola mauritanica,Salamanquesa Común,species
Aspronema dorsivittatum,539378,Reptilia,Animalia,Reptilia,Squamata,Scincidae,Aspronema,Aspronema dorsivittatum,Lagartija de las cortaderas,species
Contomastix lacertoides,964780,Reptilia,Animalia,Reptilia,Squamata,Teiidae,Contomastix,Contomastix lacertoides,Lagartija del pedregal serrano,species
Salvator merianae,318758,Reptilia,Animalia,Reptilia,Squamata,Teiidae,Salvator,Salvator merianae,Lagarto Overo,species
Teius oculatus,113828,Reptilia,Animalia,Reptilia,Squamata,Teiidae,Teius,Teius oculatus,Lagartija verde común,species
Tropidurus torquatus,38961,Reptilia,Animalia,Reptilia,Squamata,Tropiduridae,Tropidurus,Tropidurus torquatus,Lagarto Trepador Oriental,species
Bothrops alternatus,539037,Reptilia,Animalia,Reptilia,Squamata,Viperidae,Bothrops,Bothrops alternatus,Crucera,species
Bothrops pubescens,539421,Reptilia,Animalia,Reptilia,Squamata,Viperidae,Bothrops,Bothrops pubescens,Yara,species
Acanthochelys spixii,39611,Reptilia,Animalia,Reptilia,Testudines,Chelidae,Acanthochelys,Acanthochelys spixii,Tortuga canaleta mesopotámica,species
Hydromedusa tectifera,39633,Reptilia,Animalia,Reptilia,Testudines,Chelidae,Hydromedusa,Hydromedusa tectifera,Tortuga cuello de serpiente,species
Phrynops hilarii,39626,Reptilia,Animalia,Reptilia,Testudines,Chelidae,Phrynops,Phrynops hilarii,Tortuga de laguna,species
Phrynops williamsi,39619,Reptilia,Animalia,Reptilia,Testudines,Chelidae,Phrynops,Phrynops williamsi,Tortuga herradura,species
Caretta caretta,39665,Reptilia,Animalia,Reptilia,Testudines,Cheloniidae,Caretta,Caretta caretta,Tortuga caguama,species
Chelonia mydas,39659,Reptilia,Animalia,Reptilia,Testudines,Cheloniidae,Chelonia,Chelonia mydas,Tortuga verde,species
Dermochelys coriacea,39677,Reptilia,Animalia,Reptilia,Testudines,Dermochelyidae,Dermochelys,Dermochelys coriacea,Tortuga Laúd,species
Trachemys dorbigni,39797,Reptilia,Animalia,Reptilia,Testudines,Emydidae,Trachemys,Trachemys dorbigni,Morrocoyo,species
