scientific_name,taxon_id,iconic_taxon_name,kingdom,class,order,family,genus,species,common_name,taxon_rank
Accipiter bicolor,5137,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter bicolor,Gavilán bicolor,species
Accipiter striatus,5097,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,Gavilán Chico,species
Busarellus nigricollis,5346,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Busarellus,Busarellus nigricollis,Águila Pampa,species
Buteo swainsoni,5196,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Gavilán langostero,species
Buteogallus meridionalis,5235,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus meridionalis,Águila colorada,species
Buteogallus urubitinga,5238,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Buteogallus,Buteogallus urubitinga,Águila negra,species
Circus buffoni,5177,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Circus,Circus buffoni,Gavilán alilargo,species
Circus cinereus,5166,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Circus,Circus cinereus,Gavilán ceniciento,species
Elanoides forficatus,5301,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Elanoides,Elanoides forficatus,Halcón tijereta,species
Elanus leucurus,5277,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Elanus,Elanus leucurus,Halcón Blanco,species
Geranoaetus albicaudatus,201043,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Geranoaetus,Geranoaetus albicaudatus,Águila Cola Blanca,species
Geranoaetus melanoleucus,5422,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Geranoaetus,Geranoaetus melanoleucus,Águila mora,species
Geranospiza caerulescens,5411,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Geranospiza,Geranospiza caerulescens,Gavilán patas largas,species
Ictinia mississippiensis,5416,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Ictinia,Ictinia mississippiensis,Milano de Mississippi,species
Parabuteo unicinctus,5355,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Parabuteo,Parabuteo unicinctus,Gavilán mixto,species
Rostrhamus sociabilis,5349,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Rostrhamus,Rostrhamus sociabilis,Caracolero,species
Rupornis magnirostris,201041,Aves,Animalia,Aves,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Gavilán común,species
Pandion haliaetus,116999,Aves,Animalia,Aves,Accipitriformes,Pandionidae,Pandion,Pandion haliaetus,Águila pescadora,species
Amazonetta brasiliensis,7182,Aves,Animalia,Aves,Anseriformes,Anatidae,Amazonetta,Amazonetta brasiliensis,Pato brasilero,species
Anas bahamensis,6951,Aves,Animalia,Aves,Anseriformes,Anatidae,Anas,Anas bahamensis,Pato gargantilla,species
Anas flavirostris,6947,Aves,Animalia,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,Pato barcino,species
Anas georgica,6988,Aves,Animalia,Aves,Anseriformes,Anatidae,Anas,Anas georgica,Pato maicero,species
Anas platyrhynchos domesticus,236935,Aves,Animalia,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,Pato doméstico,subspecies
Anser anser,7018,Aves,Animalia,Aves,Anseriformes,Anatidae,Anser,Anser anser,Ganso común,species
Anser anser domesticus,120479,Aves,Animalia,Aves,Anseriformes,Anatidae,Anser,Anser anser,Ganso común doméstico,subspecies
Cairina moschata,7120,Aves,Animalia,Aves,Anseriformes,Anatidae,Cairina,Cairina moschata,Pato criollo,species
Cairina moschata domestica,204094,Aves,Animalia,Aves,Anseriformes,Anatidae,Cairina,Cairina moschata,Pato real doméstico,subspecies
Callonetta leucophrys,7188,Aves,Animalia,Aves,Anseriformes,Anatidae,Callonetta,Callonetta leucophrys,Pato de collar,species
Coscoroba coscoroba,7166,Aves,Animalia,Aves,Anseriformes,Anatidae,Coscoroba,Coscoroba coscoroba,Coscoroba,species
Cygnus melancoryphus,72789,Aves,Animalia,Aves,Anseriformes,Anatidae,Cygnus,Cygnus melancoryphus,Cisne de cuello negro,species
Dendrocygna autumnalis,6893,Aves,Animalia,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna autumnalis,Sirirí vientre negro,species
Dendrocygna bicolor,6899,Aves,Animalia,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna bicolor,Pato Canela,species
Dendrocygna viduata,6898,Aves,Animalia,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna viduata,Pato cara blanca,species
Heteronetta atricapilla,7156,Aves,Animalia,Aves,Anseriformes,Anatidae,Heteronetta,Heteronetta atricapilla,Pato de cabeza negra,species
Mareca sibilatrix,558442,Aves,Animalia,Aves,Anseriformes,Anatidae,Mareca,Mareca sibilatrix,Pato overo,species
Netta peposaca,7124,Aves,Animalia,Aves,Anseriformes,Anatidae,Netta,Netta peposaca,Pato picazo,species
Nomonyx dominicus,7172,Aves,Animalia,Aves,Anseriformes,Anatidae,Nomonyx,Nomonyx dominicus,Pato fierro,species
Oxyura vittata,7077,Aves,Animalia,Aves,Anseriformes,Anatidae,Oxyura,Oxyura vittata,Pato zambullidor,species
Spatula cyanoptera,558434,Aves,Animalia,Aves,Anseriformes,Anatidae,Spatula,Spatula cyanoptera,Pato colorado,species
Spatula platalea,558435,Aves,Animalia,Aves,Anseriformes,Anatidae,Spatula,Spatula platalea,Pato cuchara,species
Spatula versicolor,558431,Aves,Animalia,Aves,Anseriformes,Anatidae,Spatula,Spatula versicolor,Pato capuchino,species
Anhima cornuta,6908,Aves,Animalia,Aves,Anseriformes,Anhimidae,Anhima,Anhima cornuta,Aruco,species
Chauna torquata,6910,Aves,Animalia,Aves,Anseriformes,Anhimidae,Chauna,Chauna torquata,Chajá,species
Chaetura meridionalis,6581,Aves,Animalia,Aves,Caprimulgiformes,Apodidae,Chaetura,Chaetura meridionalis,Vencejo de tormenta,species
Chordeiles minor,19577,Aves,Animalia,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles minor,Añapero,species
Chordeiles nacunda,19661,Aves,Animalia,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles nacunda,Ñacundá,species
Hydropsalis torquata,19565,Aves,Animalia,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,Hydropsalis torquata,Dormilón tijereta,species
Setopagis parvula,367507,Aves,Animalia,Aves,Caprimulgiformes,Caprimulgidae,Setopagis,Setopagis parvula,Dormilón Chico,species
Systellura longirostris,605123,Aves,Animalia,Aves,Caprimulgiformes,Caprimulgidae,Systellura,Systellura longirostris,Dormilón Patagónico,species
Nyctibius griseus,19667,Aves,Animalia,Aves,Caprimulgiformes,Nyctibiidae,Nyctibius,Nyctibius griseus,Urutaú,species
Chlorostilbon lucidus,6085,Aves,Animalia,Aves,Caprimulgiformes,Trochilidae,Chlorostilbon,Chlorostilbon lucidus,Picaflor verde,species
Eupetomena macroura,6065,Aves,Animalia,Aves,Caprimulgiformes,Trochilidae,Eupetomena,Eupetomena macroura,Colibrí Golondrina,species
Florisuga fusca,6420,Aves,Animalia,Aves,Caprimulgiformes,Trochilidae,Florisuga,Florisuga fusca,Picaflor negro,species
Heliomaster furcifer,5868,Aves,Animalia,Aves,Caprimulgiformes,Trochilidae,Heliomaster,Heliomaster furcifer,Picaflor de barbijo,species
Hylocharis chrysura,5979,Aves,Animalia,Aves,Caprimulgiformes,Trochilidae,Hylocharis,Hylocharis chrysura,Picaflor bronceado,species
Leucochloris albicollis,6521,Aves,Animalia,Aves,Caprimulgiformes,Trochilidae,Leucochloris,Leucochloris albicollis,Picaflor garganta blanca,species
Cariama cristata,14,Aves,Animalia,Aves,Cariamiformes,Cariamidae,Cariama,Cariama cristata,Seriema,species
Cathartes aura,4756,Aves,Animalia,Aves,Cathartiformes,Cathartidae,Cathartes,Cathartes aura,Buitre cabeza roja,species
Cathartes aura ruficollis,509518,Aves,Animalia,Aves,Cathartiformes,Cathartidae,Cathartes,Cathartes aura,Gallinazo Cabeza Roja Tropocal,subspecies
Cathartes burrovianus,4761,Aves,Animalia,Aves,Cathartiformes,Cathartidae,Cathartes,Cathartes burrovianus,Buitre cabeza amarilla,species
Coragyps atratus,4765,Aves,Animalia,Aves,Cathartiformes,Cathartidae,Coragyps,Coragyps atratus,Buitre cabeza negra,species
Charadrius collaris,4807,Aves,Animalia,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius collaris,Chorlito de collar,species
Charadrius falklandicus,4816,Aves,Animalia,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius falklandicus,Chorlito doble collar,species
