scientific_name,taxon_id,iconic_taxon_name,kingdom,class,order,family,genus,species,common_name,taxon_rank
Blaptica dubia,326791,Insecta,Animalia,Insecta,Blattodea,Blaberidae,Blaptica,Blaptica dubia,,species
Panchlora thalassina,541769,Insecta,Animalia,Insecta,Blattodea,Blaberidae,Panchlora,Panchlora thalassina,,species
Pycnoscelus surinamensis,84635,Insecta,Animalia,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,Cucaracha de Surinam,species
Periplaneta americana,82231,Insecta,Animalia,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,Cucaracha americana,species
Periplaneta fuliginosa,358429,Insecta,Animalia,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta fuliginosa,Cucaracha café ahumada,species
Blattella germanica,121237,Insecta,Animalia,Insecta,Blattodea,Ectobiidae,Blattella,Blattella germanica,Cucaracha rubia,species
Pseudomops neglectus,792133,Insecta,Animalia,Insecta,Blattodea,Ectobiidae,Pseudomops,Pseudomops neglectus,,species
Rugitermes rugosus,871783,Insecta,Animalia,Insecta,Blattodea,Kalotermitidae,Rugitermes,Rugitermes rugosus,,species
Araecerus fasciculatus,214056,Insecta,Animalia,Insecta,Coleoptera,Anthribidae,Araecerus,Araecerus fasciculatus,,species
Rhyzopertha dominica,81956,Insecta,Animalia,Insecta,Coleoptera,Bostrichidae,Rhyzopertha,Rhyzopertha dominica,,species
Agrilus frigidus,1309125,Insecta,Animalia,Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus frigidus,,species
Agrilus thoracicus,939772,Insecta,Animalia,Insecta,Coleoptera,Buprestidae,Agrilus,Agrilus thoracicus,,species
Bilyaxia maculicollis,1180058,Insecta,Animalia,Insecta,Coleoptera,Buprestidae,Bilyaxia,Bilyaxia maculicollis,,species
Conognatha klugii,1073537,Insecta,Animalia,Insecta,Coleoptera,Buprestidae,Conognatha,Conognatha klugii,,species
Chauliognathus flavipes,570533,Insecta,Animalia,Insecta,Coleoptera,Cantharidae,Chauliognathus,Chauliognathus flavipes,,species
Chauliognathus octomaculatus,1092870,Insecta,Animalia,Insecta,Coleoptera,Cantharidae,Chauliognathus,Chauliognathus octomaculatus,,species
Chauliognathus scriptus,779224,Insecta,Animalia,Insecta,Coleoptera,Cantharidae,Chauliognathus,Chauliognathus scriptus,,species
Discodon nigricorne,1136076,Insecta,Animalia,Insecta,Coleoptera,Cantharidae,Discodon,Discodon nigricorne,,species
Polemius denticornis,1077400,Insecta,Animalia,Insecta,Coleoptera,Cantharidae,Polemius,Polemius denticornis,,species
Brachinus tenuicollis,215351,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Brachinus,Brachinus tenuicollis,,species
Calosoma alternans,303194,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Calosoma,Calosoma alternans,,species
Cylindera apiata,706997,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Cylindera,Cylindera apiata,,species
Cylindera nivea,856941,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Cylindera,Cylindera nivea,,species
Cylindera nivea orbignyi,856942,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Cylindera,Cylindera nivea,,subspecies
Galerita collaris,804453,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Galerita,Galerita collaris,Galerita hedionda,species
Odontocheila chrysis,372288,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Odontocheila,Odontocheila chrysis,,species
Oxycheila femoralis,705528,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Oxycheila,Oxycheila femoralis,,species
Phaeoxantha cruciata,931412,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Phaeoxantha,Phaeoxantha cruciata,,species
Tetracha brasiliensis,486614,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Tetracha,Tetracha brasiliensis,,species
Tetracha fulgida,931889,Insecta,Animalia,Insecta,Coleoptera,Carabidae,Tetracha,Tetracha fulgida,,species
Achryson foersteri,1087842,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Achryson,Achryson foersteri,,species
Achryson maculatum,1007647,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Achryson,Achryson maculatum,,species
Achryson surinamum,269860,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Achryson,Achryson surinamum,,species
Acrocinus longimanus,126923,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Acrocinus,Acrocinus longimanus,Escarabajo arlequín,species
Aegomorphus jaspideus,1024946,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Aegomorphus,Aegomorphus jaspideus,,species
Aegomorphus nigricans,1143056,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Aegomorphus,Aegomorphus nigricans,,species
Aerenea quadriplagiata,329526,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Aerenea,Aerenea quadriplagiata,,species
Alcidion humeralis,306000,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Alcidion,Alcidion humeralis,,species
Ambonus albomaculatus,781403,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Ambonus,Ambonus albomaculatus,,species
Chlorophorus annularis,210295,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Chlorophorus,Chlorophorus annularis,,species
Chrysoprasis aurigena,842248,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Chrysoprasis,Chrysoprasis aurigena,,species
Chydarteres striatus,623460,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Chydarteres,Chydarteres striatus,Taladro rojo,species
Compsocerus violaceus,122763,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Compsocerus,Compsocerus violaceus,Guitarrero,species
Erythrochiton jucundum,623049,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Erythrochiton,Erythrochiton jucundum,,species
Euryptera unilineatocollis,515774,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Euryptera,Euryptera unilineatocollis,,species
Heterachthes flavicornis,1077489,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Heterachthes,Heterachthes flavicornis,,species
Hylotrupes bajulus,221942,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Hylotrupes,Hylotrupes bajulus,,species
Hyperplatys argentinus,888266,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Hyperplatys,Hyperplatys argentinus,,species
Lypsimena nodipennis,1348995,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Lypsimena,Lypsimena nodipennis,,species
Mallodon spinibarbis,269859,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Mallodon,Mallodon spinibarbis,Taladro grande,species
Martinsellus signatus,907521,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Martinsellus,Martinsellus signatus,,species
Megacyllene acuta,372301,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Megacyllene,Megacyllene acuta,Taladro de las flores,species
Megacyllene boryi,1180684,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Megacyllene,Megacyllene boryi,,species
Megacyllene castanea,1179440,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Megacyllene,Megacyllene castanea,,species
Megacyllene insignita,1228119,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Megacyllene,Megacyllene insignita,,species
Megacyllene latreillei,1341507,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Megacyllene,Megacyllene latreillei,,species
Megacyllene mellyi,966192,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Megacyllene,Megacyllene mellyi,,species
Megacyllene nebulosa,916805,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Megacyllene,Megacyllene nebulosa,,species
Megacyllene unicolor,1318812,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Megacyllene,Megacyllene unicolor,,species
Navosoma luctuosum,861643,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Navosoma,Navosoma luctuosum,,species
Nealcidion bicristatum,805315,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Nealcidion,Nealcidion bicristatum,,species
Neodillonia albisparsa,787212,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Neodillonia,Neodillonia albisparsa,,species
Nephalius spiniger,880625,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Nephalius,Nephalius spiniger,,species
Odontocera flavicauda,1352621,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Odontocera,Odontocera flavicauda,,species
Oncideres dejeanii,854927,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Oncideres,Oncideres dejeanii,,species
Oreodera aerumnosa,711759,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Oreodera,Oreodera aerumnosa,,species
Oxymerus aculeatus,508284,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Oxymerus,Oxymerus aculeatus,,species
Pantomallus morosus,623203,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Pantomallus,Pantomallus morosus,,species
Paromoeocerus barbicornis,481691,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Paromoeocerus,Paromoeocerus barbicornis,guitarrero,species
Phoracantha recurva,359280,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Phoracantha,Phoracantha recurva,Cuernos largos del eucalipto,species
Phoracantha semipunctata,201891,Insecta,Animalia,Insecta,Coleoptera,Cerambycidae,Phoracantha,Phoracantha semipunctata,Escarabajo cuernos largos del eucalipto,species
