id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
115936475,2022-02-05 15:51:56,2022-02-05,2022-02-05 18:51:56 UTC,Montevideo,565949,karinaviera,2022-05-07 17:24:33 UTC,2022-05-13 20:49:41 UTC,research,CC-BY,https://www.inaturalist.org/observations/115936475,https://static.inaturalist.org/photos/195668468/medium.jpeg,,"",,2,0,false,2,"80000 San José, Departamento de San José, Uruguay",-34.3296671883,-56.7164177075,6,,,,6,,,false,,,bejuco blanco,Ipomoea indica,bejuco blanco,Plantae,77496,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea indica,
115938175,Sat May 07 2022 14:33:35 GMT-0300 (GMT-3),2022-05-07,2022-05-07 17:33:35 UTC,Montevideo,2477449,aleduarte,2022-05-07 17:34:27 UTC,2022-05-07 19:21:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/115938175,https://inaturalist-open-data.s3.amazonaws.com/photos/195671479/medium.jpg,,"","",2,0,false,3,"General Leandro Gómez, San José, UY",-34.3295835425,-56.7164854333,5,,,,5,,,false,,,ombú,Phytolacca dioica,ombú,Plantae,129582,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,Phytolacca dioica,
115939784,2022-05-07 12:33:21,2022-05-07,2022-05-07 15:33:21 UTC,Montevideo,5642121,ana_laura15,2022-05-07 17:43:46 UTC,2022-05-08 12:52:12 UTC,research,,https://www.inaturalist.org/observations/115939784,https://inaturalist-open-data.s3.amazonaws.com/photos/195674049/medium.jpeg,,"",,2,0,false,2,"80000 San José, Departamento de San José, Uruguay",-34.3295545009,-56.7168891057,19,,,,19,,,false,gps,gps,Catarina asiática,Harmonia axyridis,Catarina asiática,Insecta,48484,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,Harmonia axyridis,
115941121,2022-05-07 14:46:25,2022-05-07,2022-05-07 17:46:25 UTC,Montevideo,2895714,rodrigomontiel,2022-05-07 17:51:28 UTC,2022-05-10 00:37:21 UTC,research,CC-BY,https://www.inaturalist.org/observations/115941121,https://inaturalist-open-data.s3.amazonaws.com/photos/195676299/medium.jpeg,,"",,4,0,false,2,"80000 San José, Departamento de San José, Uruguay",-34.3300059722,-56.7170589722,,,,,,,open,false,gps,gps,Zorzal colorado,Turdus rufiventris,Zorzal común,Aves,12738,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus rufiventris,
115943211,2022-05-07 15:04:30,2022-05-07,2022-05-07 18:04:30 UTC,Montevideo,5302958,claudiagilgimenez02,2022-05-07 18:06:18 UTC,2022-05-07 19:24:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/115943211,https://inaturalist-open-data.s3.amazonaws.com/photos/195680055/medium.jpeg,,"",,3,0,false,2,"80000 San José, Departamento de San José, Uruguay",-34.32972,-56.716845,2,,,,2,,open,false,,,Tala,Celtis tala,Tala,Plantae,279210,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tala,
115943467,2022-05-07 15:04:49,2022-05-07,2022-05-07 18:04:49 UTC,Montevideo,5641999,emilihano,2022-05-07 18:08:22 UTC,2022-05-07 18:41:28 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/115943467,https://inaturalist-open-data.s3.amazonaws.com/photos/195680522/medium.jpeg,,"",,0,0,false,2,"80000 San José, Departamento de San José, Uruguay",-34.32966513,-56.71687289,18,,,,18,,open,false,,,Tala,Celtis tala,Tala,Plantae,279210,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tala,
115943709,2022-05-07 15:07:29-03:00,2022-05-07,2022-05-07 18:07:29 UTC,Montevideo,5174201,solanauy,2022-05-07 18:10:06 UTC,2022-05-07 19:23:57 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/115943709,https://inaturalist-open-data.s3.amazonaws.com/photos/195683217/medium.jpg,,"","",3,0,false,3,"Treinta y Tres, San José, UY",-34.3300118158,-56.7171053589,5,,,,5,,,false,,,Trueno chino,Ligustrum sinense,Ligustrina,Plantae,128769,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Ligustrum,Ligustrum sinense,
115943863,2022-05-07 15:09:40,2022-05-07,2022-05-07 18:09:40 UTC,Montevideo,5641999,emilihano,2022-05-07 18:11:13 UTC,2022-05-07 22:09:35 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/115943863,https://inaturalist-open-data.s3.amazonaws.com/photos/195681245/medium.jpeg,,"",,2,0,false,2,"80000 San José, Departamento de San José, Uruguay",-34.33028057,-56.71728862,6,,,,6,,,false,,,Fresnos,Fraxinus,Fresnos,Plantae,54806,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,,
115943964,2022-05-07 15:06:14,2022-05-07,2022-05-07 18:06:14 UTC,Montevideo,5302958,claudiagilgimenez02,2022-05-07 18:11:52 UTC,2022-05-07 19:23:24 UTC,research,CC-BY,https://www.inaturalist.org/observations/115943964,https://inaturalist-open-data.s3.amazonaws.com/photos/195681387/medium.jpeg,,"",,3,0,false,2,"80000 San José, Departamento de San José, Uruguay",-34.3298283333,-56.71689,3,,,,3,,open,false,,,Coronillo,Scutia buxifolia,Coronilla,Plantae,371186,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Scutia,Scutia buxifolia,
115943995,Sat May 07 2022 15:11:30 GMT-0300 (GMT-3),2022-05-07,2022-05-07 18:11:30 UTC,Montevideo,2477449,aleduarte,2022-05-07 18:12:02 UTC,2022-05-07 19:23:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/115943995,https://inaturalist-open-data.s3.amazonaws.com/photos/195681472/medium.jpg,,"","",1,0,false,3,"Sección 01, San José, UY",-34.330121032,-56.7176550441,5,,,,5,,,false,,,Maravilla,Mirabilis jalapa,Maravilla,Plantae,50616,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Mirabilis,Mirabilis jalapa,
