country_name,country_code,site_name,site_id,n_records_gbif,n_records_gbif_iNat,n_records_inat,n_users,area,pop
Australia,AU,iNaturalistAU,9,134994321,5387965,10466751,113962,7741220,25303000
Papua New Guinea,PG,NA,NA,1699330,14173,34821,636,462840,8776000
New Zealand,NZ,iNaturalistNZ,3,14732365,1756979,2847937,45603,267710,4929000
Fiji,FJ,NA,NA,274669,40832,64599,1546,18270,890000
Solomon Islands,SB,NA,NA,184421,9064,13788,244,28900,670000
Federated States of Micronesia,FM,NA,NA,130275,2507,5958,343,700,114000
Vanuatu,VU,NA,NA,164467,9082,21262,441,12190,300000
Samoa,WS,NA,NA,45440,2150,4959,191,2840,197000
Kiribati,KI,NA,NA,158113,1816,2551,35,810,118000
Tonga,TO,NA,NA,133538,4126,8130,160,750,104000
Marshall Islands,MH,NA,NA,109328,15506,24564,87,180,59000
Palau,PW,NA,NA,191763,9094,17664,398,460,18000
Tuvalu,TV,NA,NA,9497,1737,2807,23,30,12000
Nauru,NR,NA,NA,4713,37,103,11,20,NA
